"category","over_represented_pvalue_wal","numDEInCat","numInCat","over_represented_pvalue_naive","db","padj_wal","padj_naive","classification"
"GO_Biological_Process_2026::Regulation of Primary Metabolic Process (GO:0080090)",0.00654882803737665,42,102,0.00255117415353142,"GO_Biological_Process_2026",1,0.291280622499243,"n.s."
"GO_Biological_Process_2026::Positive Regulation of Transcription of Nucleolar Large rRNA by RNA Polymerase I (GO:1901838)",0.00656933514954971,8,10,0.000929442250259401,"GO_Biological_Process_2026",1,0.193031803340632,"n.s."
"GO_Biological_Process_2026::Regulation of Transcription of Nucleolar Large rRNA by RNA Polymerase I (GO:1901836)",0.00666145358641666,10,14,0.000885188790652991,"GO_Biological_Process_2026",1,0.193031803340632,"n.s."
"GO_Biological_Process_2026::Positive Regulation of Transcription by RNA Polymerase II (GO:0045944)",0.0069207487042315,266,792,0.000165975582394708,"GO_Biological_Process_2026",1,0.0658289286230533,"n.s."
"GO_Molecular_Function_2026::Mitogen-activated Protein Kinase Binding (GO:0051019)",0.00693657364740457,14,25,0.00285904903364865,"GO_Molecular_Function_2026",1,0.233096585919825,"n.s."
"GO_Molecular_Function_2026::Cadherin Binding (GO:0045296)",0.0070350893230397,102,287,0.00257548133530222,"GO_Molecular_Function_2026",1,0.233096585919825,"n.s."
"GO_Cellular_Component_2026::Secretory Granule Lumen (GO:0034774)",0.00706567571109707,98,261,0.000396186452315867,"GO_Cellular_Component_2026",0.252388799747762,0.0147505238311099,"GC-driven"
"GO_Molecular_Function_2026::Ubiquitin-like Protein Ligase Binding (GO:0044389)",0.00752571791865282,88,262,0.0238109851258148,"GO_Molecular_Function_2026",1,0.57110830326404,"n.s."
"GO_Biological_Process_2026::Regulation of Protein-Containing Complex Assembly (GO:0043254)",0.00765947616885597,44,107,0.00210934358682983,"GO_Biological_Process_2026",1,0.291280622499243,"n.s."
"GO_Cellular_Component_2026::Lytic Vacuole Membrane (GO:0098852)",0.00778500817718024,122,326,9.7677919634882e-05,"GO_Cellular_Component_2026",0.252388799747762,0.00711653414482712,"GC-driven"
"GO_Cellular_Component_2026::Golgi Membrane (GO:0000139)",0.00791807999208666,160,462,0.000744278933093254,"GO_Cellular_Component_2026",0.252388799747762,0.0237238909923475,"GC-driven"
"GO_Biological_Process_2026::Regulation of Autophagy (GO:0010506)",0.00801730738467375,78,220,0.00818542621867124,"GO_Biological_Process_2026",1,0.405110385939071,"n.s."
"GO_Biological_Process_2026::Positive Regulation of Catabolic Process (GO:0009896)",0.00871020384487049,56,150,0.00725905004215657,"GO_Biological_Process_2026",1,0.397392327695349,"n.s."
"GO_Molecular_Function_2026::Transcription Cis-Regulatory Region Binding (GO:0000976)",0.00913605071722504,144,444,0.0181491455614065,"GO_Molecular_Function_2026",1,0.57110830326404,"n.s."
"GO_Biological_Process_2026::Negative Regulation of Natural Killer Cell Mediated Cytotoxicity (GO:0045953)",0.0092003247783173,14,22,0.000497000879583913,"GO_Biological_Process_2026",1,0.128334270602124,"n.s."
"GO_Biological_Process_2026::Pyridine Nucleotide Catabolic Process (GO:0019364)",0.00963303766728458,17,28,0.000280727791737247,"GO_Biological_Process_2026",1,0.0926245752848618,"n.s."
"GO_Biological_Process_2026::Negative Regulation of Intracellular Signal Transduction (GO:1902532)",0.00992872688746311,117,315,0.00019157113689953,"GO_Biological_Process_2026",1,0.066925940120371,"n.s."
"GO_Molecular_Function_2026::Chemokine Receptor Activity (GO:0004950)",0.0105821870125254,11,24,0.0459018435931676,"GO_Molecular_Function_2026",1,0.722954036592389,"n.s."
"GO_Biological_Process_2026::Transcription Initiation-Coupled Chromatin Remodeling (GO:0045815)",0.0106790767158647,23,50,0.00468686265896407,"GO_Biological_Process_2026",1,0.397392327695349,"n.s."
"GO_Cellular_Component_2026::PRC1 Complex (GO:0035102)",0.0108489710724654,11,16,0.000794150935452043,"GO_Cellular_Component_2026",0.325469132173961,0.0238245280635613,"GC-driven"
"GO_Molecular_Function_2026::DNA-binding Transcription Repressor Activity, RNA Polymerase II-specific (GO:0001227)",0.0110549500327682,68,175,0.00102689044318329,"GO_Molecular_Function_2026",1,0.177908769281505,"n.s."
"GO_Biological_Process_2026::Canonical Glycolysis (GO:0061621)",0.0113795305909222,14,20,0.000109060953852525,"GO_Biological_Process_2026",1,0.0647713004930145,"n.s."
"GO_Biological_Process_2026::Glucose Catabolic Process to Pyruvate (GO:0061718)",0.0113795305909222,14,20,0.000109060953852525,"GO_Biological_Process_2026",1,0.0647713004930145,"n.s."
"GO_Biological_Process_2026::Response to Endoplasmic Reticulum Stress (GO:0034976)",0.011649640128021,43,121,0.0396490237696877,"GO_Biological_Process_2026",1,0.709173802317223,"n.s."
"GO_Biological_Process_2026::Immunoglobulin Mediated Immune Response (GO:0016064)",0.0118194975287372,12,17,0.000309128798676709,"GO_Biological_Process_2026",1,0.0966271544916304,"n.s."
"GO_Biological_Process_2026::Regulation of DNA Repair (GO:0006282)",0.0118218171077964,42,122,0.0669341427052941,"GO_Biological_Process_2026",1,0.774691583815205,"n.s."
