Gene_set,Term,P-value,Adjusted P-value,P-value (naive),Adjusted P-value (naive),Odds Ratio,numDEInCat,numInCat,classification,Genes
GO_Biological_Process_2026,Metallo-sulfur Cluster Assembly (GO:0031163),4.56393916384405e-05,0.015066070284200745,4.09792292800629e-05,0.01623323869214225,5.551029990022888,14,25,GC-robust,BOLA3;CIAO1;CIAO2A;CIAO2B;CIAPIN1;FDX2;FXN;GLRX5;HSCB;ISCA1;ISCA2;ISCU;NFU1;NUBP2
GO_Biological_Process_2026,Cellular Response to Superoxide (GO:0071451),5.57495671575369e-05,0.017434943581583384,5.21430283860605e-05,0.01721299303722064,17.431334622823986,8,10,GC-robust,ADPRS;CCS;NOS3;NQO1;PARK7;PRDX1;PRDX2;SOD1
GO_Cellular_Component_2026,Ribonuclease MRP Complex (GO:0000172),0.0010684561404814,0.019461165415911214,0.000916849142295,0.017984348560401923,13.067883995703545,6,8,GC-robust,POP4;POP5;POP7;RPP25;RPP25L;RPP40
GO_Cellular_Component_2026,Ficolin-1-rich Granule Lumen (GO:1904813),0.0011210426145987,0.019714887360184036,0.001197578675346,0.021060866359533102,1.94702338766832,37,120,GC-robust,A1BG;APEH;ARPC5;C1ORF35;CCT8;CFD;COMMD3;CSNK2B;CST3;CSTB;CTSD;DYNLT1;EEF1A1;GMFG;GSDMD;GSTP1;GUSB;HMGB1;HSP90AA1;HSP90AB1;HSPA1A;HSPA1B;HSPA6;HSPA8;ILF2;MIF;PDAP1;PPIA;PPIE;PRDX4;PSMA5;PSMB1;PSMC3;PSMD6;PSMD7;SRP14;XRCC6
GO_Cellular_Component_2026,"RNA Polymerase II, Core Complex (GO:0005665)",0.0012175727036272,0.020698735961662402,0.0009901971959269,0.01870372481195256,5.602751504729149,9,16,GC-robust,POLR2C;POLR2E;POLR2F;POLR2G;POLR2H;POLR2I;POLR2J;POLR2K;POLR2L
GO_Cellular_Component_2026,TIM23 Mitochondrial Import Inner Membrane Translocase Complex (GO:0005744),0.0012766182531154,0.0210024293254469,0.0016768531947768,0.02672484779175525,5.80929866036249,8,14,GC-robust,DNAJC15;DNAJC19;GRPEL1;ROMO1;TIMM10;TIMM17A;TIMM17B;TIMM50
GO_Molecular_Function_2026,SnRNA Binding (GO:0017069),3.28867663897382e-05,0.022774085724893707,6.02426749126953e-05,0.0417180523770415,3.7687810896557123,19,41,GC-robust,C9ORF78;COIL;EIF5A;ISG20;LSM10;LSM2;LSM4;LSM7;LSM8;NCBP2;PRPF31;RBM7;SNRNP35;SNRPA;SNRPB2;SNRPC;SNRPD3;SNU13;TUT1
GO_Cellular_Component_2026,Cytolytic Granule (GO:0044194),0.0014437435726297,0.023009663188785844,0.000916849142295,0.017984348560401923,13.067883995703545,6,8,GC-robust,GNLY;GZMB;LAMP1;NKG7;PRF1;STXBP2
GO_Biological_Process_2026,"Negative Regulation of mRNA Splicing, via Spliceosome (GO:0048025)",7.76610532126025e-05,0.023073098909464202,0.0001257104600042,0.03734857766724782,4.696561884425021,14,27,GC-robust,C1QBP;PCBP4;SAP18;SNRPB;SNRPD1;SNRPD2;SNRPD3;SNRPE;SNRPF;SNRPG;SRSF10;SRSF12;SRSF6;SRSF7
GO_Biological_Process_2026,Negative Regulation of RNA Splicing (GO:0033119),9.29032132028012e-05,0.02628718537385927,0.0001973024886401,0.05486072000464666,4.0887995049504955,15,31,n.s.,C1QBP;PCBP4;SAP18;SNRPB;SNRPD1;SNRPD2;SNRPD3;SNRPE;SNRPF;SNRPG;SRSF10;SRSF12;SRSF6;SRSF7;TMBIM6
GO_Biological_Process_2026,Gene Expression (GO:0010467),0.0001106806498319,0.029206119783451653,0.0005333266164459,0.09054362156918679,1.653062856348213,71,259,n.s.,AIP;BOLA3;C2;CASP4;CCS;CETN2;CFD;CIAO1;CIAO2A;CIAO2B;CISD1;CISD3;CLN5;CREB3;DDX19B;DHPS;DKC1;ENY2;ERH;EXOSC1;EXOSC4;EXOSC5;EXOSC6;EXOSC8;FKBP1A;FKBP1B;FXN;GLRX5;GOLPH3;GZMA;GZMB;GZMH;GZMM;HSP90AA1;ISCA1;ISCA2;ISG20;LMF2;MAGOH;MAGOHB;NAA10;NCBP2;NFKBIB;NFU1;NXT1;POLDIP3;POP4;POP5;POP7;PRPH2;PRSS57;PTMA;PWP1;RBM3;RBM8A;RBPMS;RPP25;RPP40;SCX;SEC11A;SEC11C;SEM1;SPCS1;SPCS2;SPCS3;SRSF3;THAP1;THOC6;THOC7;TSPAN33;ZNF830
