"category","over_represented_pvalue_wal","numDEInCat","numInCat","over_represented_pvalue_naive","db","padj_wal","padj_naive","classification"
"GO_Biological_Process_2026::Negative Regulation of mRNA Splicing, via Spliceosome (GO:0048025)",0.000105483366153884,14,27,0.000167242701989178,"GO_Biological_Process_2026",0.0179201170043141,0.0284121458865044,"GC-robust"
"GO_Biological_Process_2026::Negative Regulation of RNA Splicing (GO:0033119)",0.000128088161266261,15,31,0.000264821093018368,"GO_Biological_Process_2026",0.0211558946358108,0.0414375320812425,"GC-robust"
"GO_Biological_Process_2026::CD8-positive, Alpha-Beta T Cell Homeostasis (GO:0160165)",0.000153818105520241,9,14,0.000306840921778765,"GO_Biological_Process_2026",0.0245669354958818,0.0434399076403937,"GC-robust"
"GO_Cellular_Component_2026::U7 snRNP (GO:0005683)",0.000159793213966955,6,7,0.000316922681140144,"GO_Cellular_Component_2026",0.00428918626963931,0.00700751713175533,"GC-robust"
"GO_Biological_Process_2026::Negative Regulation of mRNA Processing (GO:0050686)",0.000163445202556995,14,28,0.00027479873821444,"GO_Biological_Process_2026",0.0245669354958818,0.0415293768287632,"GC-robust"
"GO_Biological_Process_2026::Formation of Cytoplasmic Translation Initiation Complex (GO:0001732)",0.000164018318626674,9,14,0.000306840921778765,"GO_Biological_Process_2026",0.0245669354958818,0.0434399076403937,"GC-robust"
"GO_Biological_Process_2026::Gene Expression (GO:0010467)",0.000165266972727089,72,260,0.00075514838982464,"GO_Biological_Process_2026",0.0245669354958818,0.0816384059254056,"n.s."
"GO_Cellular_Component_2026::COPI-coated Vesicle (GO:0030137)",0.00017243175374137,6,7,0.000316922681140144,"GO_Cellular_Component_2026",0.00439700972040494,0.00700751713175533,"GC-robust"
"GO_Cellular_Component_2026::Oligosaccharyltransferase Complex A (GO:0160226)",0.00018221155379465,7,9,0.000262058864095302,"GO_Cellular_Component_2026",0.00442513773501294,0.00636428669945735,"GC-robust"
"GO_Cellular_Component_2026::Cytoplasmic Vesicle Lumen (GO:0060205)",0.000193448754336859,38,110,0.000138492894248835,"GO_Cellular_Component_2026",0.00448449385053627,0.00371744084562662,"GC-robust"
"GO_Molecular_Function_2026::Alcohol Dehydrogenase (NADP+) Activity (GO:0008106)",0.000195935017848511,14,27,0.000167242701989178,"GO_Molecular_Function_2026",0.0637185860276343,0.0644895020830104,"n.s."
"GO_Biological_Process_2026::ATP Synthesis Coupled Electron Transport (GO:0042773)",0.000242474429861676,5,5,0.000279376904330731,"GO_Biological_Process_2026",0.0338770488303648,0.0415293768287632,"GC-robust"
"GO_Biological_Process_2026::Ribosome Biogenesis (GO:0042254)",0.00024371581623475,43,138,0.000683651560753712,"GO_Biological_Process_2026",0.0338770488303648,0.0799358104483153,"n.s."
"GO_Biological_Process_2026::Removal of Superoxide Radicals (GO:0019430)",0.000249358005624032,7,9,0.000262058864095302,"GO_Biological_Process_2026",0.0338770488303648,0.0414375320812425,"GC-robust"
"GO_Biological_Process_2026::RNA Splicing (GO:0008380)",0.00025068788236395,32,97,0.00111004728932009,"GO_Biological_Process_2026",0.0338770488303648,0.110005686371621,"n.s."
"GO_Cellular_Component_2026::U2 snRNP (GO:0005686)",0.000275004668117598,11,20,0.000438290339316495,"GO_Cellular_Component_2026",0.00609792959739022,0.0089411229220565,"GC-robust"
"GO_Molecular_Function_2026::Thioredoxin Peroxidase Activity (GO:0008379)",0.000280923544528486,5,5,0.000279376904330731,"GO_Molecular_Function_2026",0.0637185860276343,0.0644895020830104,"n.s."
"GO_Molecular_Function_2026::Thioredoxin-dependent Peroxiredoxin Activity (GO:0140824)",0.000280923544528486,5,5,0.000279376904330731,"GO_Molecular_Function_2026",0.0637185860276343,0.0644895020830104,"n.s."
"GO_Biological_Process_2026::RNA Processing (GO:0006396)",0.000286249528758776,77,287,0.00135900570082411,"GO_Biological_Process_2026",0.0378231043999929,0.115404166460099,"n.s."
"GO_Cellular_Component_2026::Secretory Granule Lumen (GO:0034774)",0.000287149389087317,77,268,0.000146147150449118,"GO_Cellular_Component_2026",0.00610192451810548,0.0037267523364525,"GC-robust"
"GO_Biological_Process_2026::Regulation of Proteasomal Protein Catabolic Process (GO:0061136)",0.000297067159773207,28,78,0.00049695840800873,"GO_Biological_Process_2026",0.0383991593915541,0.0642372759569546,"n.s."
"GO_Biological_Process_2026::Chaperone-mediated Protein Complex Assembly (GO:0051131)",0.00033171876521822,10,18,0.000724533834976125,"GO_Biological_Process_2026",0.0412142892774719,0.0799358104483153,"n.s."
"GO_Biological_Process_2026::Proteasome Assembly (GO:0043248)",0.000332708692451842,8,12,0.000477471898408315,"GO_Biological_Process_2026",0.0412142892774719,0.0630899535096853,"n.s."
"GO_Molecular_Function_2026::Iron-sulfur Cluster Binding (GO:0051536)",0.000344171074212727,14,30,0.000672931332310477,"GO_Molecular_Function_2026",0.0637185860276343,0.103556655027779,"n.s."
"GO_Molecular_Function_2026::RNA Endonuclease Activity Producing 5'-Phosphomonoesters, Hydrolytic Mechanism (GO:0016891)",0.000348858419732921,14,29,0.000436598485457007,"GO_Molecular_Function_2026",0.0637185860276343,0.0863841289082793,"n.s."
"GO_Molecular_Function_2026::NADH Dehydrogenase Activity (GO:0003954)",0.000368049594383447,7,9,0.000262058864095302,"GO_Molecular_Function_2026",0.0637185860276343,0.0644895020830104,"n.s."
"GO_Biological_Process_2026::Vesicle Targeting, Rough ER to cis-Golgi (GO:0048207)",0.000394189352013123,12,23,0.000457325514961233,"GO_Biological_Process_2026",0.0477935868437457,0.0618013070899884,"n.s."
"GO_Biological_Process_2026::Ribosomal Large Subunit Biogenesis (GO:0042273)",0.000401896963031834,17,40,0.000709422902688736,"GO_Biological_Process_2026",0.0477935868437457,0.0799358104483153,"n.s."
"GO_Biological_Process_2026::Antimicrobial Humoral Immune Response Mediated by Antimicrobial Peptide (GO:0061844)",0.00041550942150006,20,50,0.000640373905347309,"GO_Biological_Process_2026",0.0484435102007718,0.0777074130856143,"n.s."
"GO_Cellular_Component_2026::Intracellular Organelle Lumen (GO:0070013)",0.000423473097452922,192,790,0.000329765512082604,"GO_Cellular_Component_2026",0.0086388511880396,0.00700751713175533,"GC-robust"
"GO_Biological_Process_2026::Regulation of Lysosome Size (GO:0062196)",0.000456451059856641,7,9,0.000262058864095302,"GO_Biological_Process_2026",0.0521934231136075,0.0414375320812425,"GC-driven"
"GO_Molecular_Function_2026::RRNA Binding (GO:0019843)",0.000464182595400245,14,30,0.000672931332310477,"GO_Molecular_Function_2026",0.0714325438477043,0.103556655027779,"n.s."
