Gene_set,Term,P-value,Adjusted P-value,P-value (naive),Adjusted P-value (naive),Odds Ratio,numDEInCat,numInCat,classification,Genes
GO_Biological_Process_2026,RNA Capping (GO:0036260),1.37235947598706e-05,0.0018520614928207186,7.55147899812728e-05,0.01067635292639995,17.735401459854014,8,10,GC-robust,LSM10;SNRPB;SNRPD1;SNRPD2;SNRPD3;SNRPE;SNRPF;SNRPG
GO_Cellular_Component_2026,U5 snRNP (GO:0005682),0.0001075580106985,0.0020618278192786666,0.0001526107941736,0.003242979376189,6.970456842860403,11,18,GC-robust,CD2BP2;SNRPB;SNRPD1;SNRPD2;SNRPD3;SNRPE;SNRPG;SNRPN;TSSC4;TXNL4A;TXNL4B
GO_Cellular_Component_2026,U7 snRNP (GO:0005683),0.0001091555904324,0.0020618278192786666,0.0003629544532573,0.006103934024361775,26.592339261285908,6,7,GC-robust,LSM10;SNRPB;SNRPD3;SNRPE;SNRPF;SNRPG
GO_Cellular_Component_2026,COPI-coated Vesicle (GO:0030137),0.0001146044403998,0.002087438021567786,0.0003629544532573,0.006103934024361775,26.592339261285908,6,7,GC-robust,KDELR1;KDELR2;KDELR3;TMED10;TMED2;VMA22
GO_Cellular_Component_2026,Oligosaccharyltransferase Complex A (GO:0160226),0.0001295093151008,0.0022775776103933793,0.0003057140551833,0.005774598820129,15.514937286202963,7,9,GC-robust,DAD1;DDOST;KRTCAP2;OST4;OSTC;RPN2;TMEM258
GO_Cellular_Component_2026,Intracellular Membraneless Organelle (GO:0043232),0.0001612566970223,0.0027413638493790997,0.001437126495182,0.020359292015078332,1.3886820551005212,244,1034,GC-robust,ABHD14B;ABT1;ACTB;ACTG1;ADAM8;AK6;ALKBH2;ANAPC11;ANP32B;APEX1;ARHGDIA;ARL2;ARL4A;AUP1;AURKB;BCAP31;BFSP2;BIN1;BUD23;C18ORF32;C1D;C1ORF146;CALR;CAPG;CAPZA1;CASP6;CCT3;CENPB;CENPH;CENPV;CERKL;CFAP276;CIAO2B;CIAPIN1;CIMAP1B;CNN2;CNTD1;COIL;CSTB;CYB5R3;DBN1;DCX;DDX24;DDX28;DEDD;DEDD2;DEK;DGKQ;DNAJB9;DOLK;DYNLL1;EBNA1BP2;EDF1;EEF1A1;EID3;ELOF1;EMD;ENDOV;ERF;EXOSC1;EXOSC4;EXOSC5;EXOSC6;FAAP20;FAM32A;FAU;FBL;FEN1;FLNA;FOXM1;FRG1;FSAF1;G0S2;GAPDH;GEMIN4;GET3;GIMAP2;GIMAP7;GRWD1;GTF2H5;H1-10;H1-2;HDHD3;HILPDA;HINFP;HINT1;HIRIP3;HMGB2;HMGN2;HSD17B11;HSPB1;IFI35;ILF2;IMP3;IMP4;INTS15;IRAK1;ISG20;ITGB1BP1;JTB;KANK3;KRT10;KRT18;LDB3;LLPH;LMOD2;LMOD3;LRWD1;LSM6;LYAR;MAD2L1BP;MAD2L2;MAGED2;MAGEH1;MAPK3;MCRS1;MEAF6;METTL18;METTL5;MIF4GD;MRPL4;MRPS12;MRPS7;MRTO4;MYC;MZT1;MZT2A;MZT2B;NIFK;NIP7;NLE1;NOL12;NOL7;NOP53;NPM1;NPM2;NPM3;NRG2;NSA2;NSUN5;NUCKS1;NUDC;PA2G4;PARP1;PARP10;PDCD2;PIDD1;PIH1D1;PIM1;PIN4;PNKP;PNMA1;PNPLA2;PNPLA3;PNPLA4;POP4;POP5;POP7;PPL;PPP1R7;PYM1;RAB5C;RAC1;RAC2;RAN;RBIS;RBM7;RBMX2;REC114;RGCC;RGS14;RHNO1;RHOG;RIOX1;RPL10A;RPL11;RPL13;RPL13A;RPL15;RPL19;RPL23;RPL23A;RPL26;RPL27;RPL29;RPL3;RPL35;RPL36;RPL36A;RPL4;RPL5;RPL7;RPL7A;RPL8;RPL9;RRP36;RRP9;RRS1;RSL24D1;RXRB;S100A12;S100A8;S100A9;SAC3D1;SAP30L;SASS6;SBDS;SERP1;SET;SHOC1;SIRT6;SIRT7;SLBP;SLC29A2;SLX9;SMUG1;SNRNP35;SNU13;SOX30;SPRY2;SQSTM1;STAG3;SUB1;SUMO1;TBCC;TUBA4A;TUBB;TUBB4B;TUBG1;TUT1;UBE2I;UBE2M;UHRF1;UTP11;UXT;VIM;WDR46;ZBED6;ZC3H12A;ZNF346;ZNF554;ZNF593;ZNF771;ZPR1
GO_Biological_Process_2026,Respiratory Chain Complex IV Assembly (GO:0008535),3.37528789523623e-05,0.004453879893758385,0.0002188271860101,0.027646719798467532,4.437971213159699,15,30,GC-robust,BCS1L;CMC1;COA3;COA5;COA6;COA8;COX14;COX16;COX17;PET100;PET117;SMIM20;STMP1;SURF1;TMEM223
GO_Cellular_Component_2026,U2-type Catalytic Step 2 Spliceosome (GO:0071007),0.0003052172327524,0.005021315764636258,0.0029883857826894,0.04010728287293668,3.391843423827626,13,30,GC-robust,BCAS2;BUD31;CWC15;SNRPB;SNRPB2;SNRPD1;SNRPD2;SNRPD3;SNRPE;SNRPF;SNRPG;SYF2;XAB2
GO_Biological_Process_2026,Mitochondrial Respirasome Assembly (GO:0097250),4.17625197178461e-05,0.005390996567055873,8.21976561063867e-05,0.011092947317266458,31.03147092360319,7,8,GC-robust,COX7A2L;HIGD1A;HIGD1B;HIGD2A;MTLN;RAB5IF;STMP1
GO_Cellular_Component_2026,Secretory Granule Lumen (GO:0034774),0.0003759055964544,0.005990995443492,8.16534348638072e-05,0.0019054911188298735,1.8921811694986999,78,262,GC-robust,A2M;ACTR1B;AGA;APRT;ARPC5;ARSA;C1ORF35;CAMP;CCT8;CFD;CNN2;CSNK2B;CSTB;CTSD;CTSW;CYB5R3;DPP7;DYNLT1;EEF1A1;EEF2;EPX;FABP5;FOLR3;FTL;GHDC;GMFG;GPI;GRN;GSDMD;GSTP1;GUSB;HEBP2;HMGB1;HSP90AA1;HSP90AB1;HSPA6;HSPA8;ILF2;LGALS3BP;MAGED2;MIF;NAPRT;NIT2;NME2;NPC2;ORM2;PA2G4;PKM;PLAC8;POMC;PPIA;PRDX4;PRDX6;PRSS57;PSMB1;PSMC3;PSMD3;PSMD6;PSMD7;PTGES2;RNASET2;S100A11;S100A12;S100A8;S100A9;S100P;SCG3;SERPINB1;SRGN;SRP14;TEX264;TIMP1;TMSB4X;TRAPPC1;TUBB;TUBB4B;VAT1;VEGFB
