,Gene_set,Term,P-value,Adjusted P-value,Old P-value,Old adjusted P-value,Odds Ratio,Combined Score,Genes
15,GO_Biological_Process_2026,Muscle Contraction (GO:0006936),1.8667983971459057e-17,4.439479938212607e-15,0,0,6.678254716981132,257.2445131693175,RPL4;RPL5;RPL30;RPL32;RPL10;RPL31;RPL34;RPLP1;RPL12;RPLP0;RPL11;RPL10A;RPL8;RPL9;LMOD3;LMOD2;RPL7A;GLRA1;RPL18A;RPL36;RPL14;RPL35;RPLP2;RPL13;RPL38;RPL37;RPL18;RPL39;EMD;RPL19;GAMT;MYL11;RPL23;TNNC1;RPL13A;RPL35A;RPL23A;MYL6;RPL27A;RPL37A;RPL24;RPL27;RPL29;RPL28;UBA52
4593,KEGG_2021_Human,Diabetic cardiomyopathy,1.641722151851075e-16,6.115415015645255e-15,0,0,4.483288757098281,162.94789025752186,COX7B;NDUFA11;NDUFA12;COX4I1;NCF4;COX7C;MPC2;RAC2;UQCRFS1;PDK2;NDUFC2;CYBA;NDUFC1;COX6B1;COX7A2L;NDUFS8;NDUFS7;NDUFS6;NDUFS5;NDUFS3;NDUFS2;SLC25A5;SLC25A4;NDUFB9;NDUFB8;NDUFB7;NDUFB10;UQCRB;NDUFB11;NDUFB4;NDUFB3;ATP5MC2;NDUFB2;ATP5MC3;NDUFB1;UQCR11;COX7A2;COX5B;COX5A;UQCRH;ATP5MC1;CYC1;NDUFV1;NDUFA9;ATP5PF;NDUFA7;ATP5PD;NDUFA5;NDUFA4;NDUFA3;NDUFA2;NDUFA1;COX6C;ATP5F1D;ATP5F1E;PPP1CA;UQCRQ;NDUFAB1;ATP5PO
16,GO_Biological_Process_2026,"Mitochondrial Electron Transport, NADH to Ubiquinone (GO:0006120)",3.1313533546627447e-15,7.008705596759848e-13,0,0,17.678841662774403,590.4257749369256,NDUFA9;NDUFB9;NDUFB8;NDUFA7;NDUFB7;NDUFB10;NDUFA5;NDUFB4;NDUFA3;NDUFB3;NDUFA2;NDUFB2;NDUFA1;NDUFB1;NDUFC2;NDUFC1;NDUFS8;NDUFS7;NDUFS6;NDUFS5;NDUFAB1;NDUFS3;NDUFS2;NDUFV1
4594,KEGG_2021_Human,Alzheimer disease,1.991930916502615e-13,6.5955045901975476e-12,0,0,2.9009801867244067,84.83772009177167,COX7B;NDUFA11;NDUFA12;COX4I1;COX7C;TNF;PSMD8;PSMD9;FRAT2;PSMD4;UQCRFS1;HRAS;MAP2K2;NDUFC2;NDUFC1;CSNK1E;WNT16;TUBA4A;COX6B1;COX7A2L;NDUFS8;NDUFS7;NDUFS6;NDUFS5;CSNK2B;NDUFS3;NDUFS2;SLC25A5;SLC25A4;NDUFB9;NDUFB8;NDUFB7;NDUFB10;UQCRB;NDUFB11;NDUFB4;NDUFB3;ATP5MC2;NDUFB2;ATP5MC3;NDUFB1;UQCR11;COX7A2;COX5B;COX5A;PSMA7;UQCRH;ATP5MC1;APH1A;PSMB6;PSMB4;PSMB3;PSMB1;DVL2;NRBF2;CYC1;NDUFV1;NDUFA9;ATP5PF;XBP1;NDUFA7;ATP5PD;NDUFA5;BAD;NDUFA4;NDUFA3;NDUFA2;NDUFA1;GRIN2C;COX6C;TUBB4B;ATP5F1D;ATP5F1E;GRIN2D;PSMC5;PSMC3;UQCRQ;NDUFAB1;ATP5PO;CALM1
4595,KEGG_2021_Human,Non-alcoholic fatty liver disease,1.9067132319749888e-12,5.6820054312854664e-11,0,0,4.097717047158807,110.57951778235471,NDUFB9;COX7B;NDUFB8;NDUFB7;NDUFA11;NDUFB10;UQCRB;NDUFA12;NDUFB11;COX4I1;NDUFB4;NDUFB3;NDUFB2;NDUFB1;COX7A2;UQCR11;COX5B;TNF;COX7C;COX5A;UQCRH;SOCS3;MLX;UQCRFS1;CYC1;NDUFV1;NDUFA9;XBP1;NDUFA7;NDUFA5;NDUFA4;NDUFA3;NDUFA2;NDUFA1;NDUFC2;NDUFC1;COX6C;COX6B1;COX7A2L;NDUFS8;NDUFS7;UQCRQ;NDUFS6;NDUFS5;NDUFAB1;NDUFS3;NDUFS2
4596,KEGG_2021_Human,Amyotrophic lateral sclerosis,1.8729437030842655e-11,5.073974759264647e-10,0,0,2.63141576707348,64.99840260374201,COX7B;NXT1;NDUFA11;NDUFA12;COX4I1;COX7C;TNF;ACTG1;PSMD8;PSMD9;PSMD4;UQCRFS1;SIGMAR1;NDUFC2;NDUFC1;TUBA4A;COX6B1;COX7A2L;NDUFS8;NDUFS7;NDUFS6;NDUFS5;NDUFS3;NDUFS2;NDUFB9;NDUFB8;NDUFB7;NDUFB10;UQCRB;DNAH7;NDUFB11;NDUFB4;DCTN3;NDUFB3;ATP5MC2;NDUFB2;ATP5MC3;NDUFB1;UQCR11;COX7A2;COX5B;COX5A;PSMA7;UQCRH;ATP5MC1;PSMB6;PSMB4;PSMB3;PSMB1;NRBF2;CYC1;HNRNPA1;NDUFV1;NDUFA9;ATP5PF;XBP1;NDUFA7;ATP5PD;NDUFA5;BAD;NDUFA4;NDUFA3;NDUFA2;NDUFA1;CHCHD10;GRIN2C;COX6C;TUBB4B;ATP5F1D;ATP5F1E;GRIN2D;SOD1;PSMC5;CCS;PSMC3;UQCRQ;NDUFAB1;ATP5PO
4597,KEGG_2021_Human,Pathways of neurodegeneration,1.1019203809637283e-10,2.736435612726592e-09,0,0,2.347750158295717,53.8310855452574,COX7B;NDUFA11;NDUFA12;COX4I1;PARK7;TNF;COX7C;PSMD8;PSMD9;FRAT2;PSMD4;UQCRFS1;HRAS;MAP2K2;SIGMAR1;NDUFC2;NDUFC1;CSNK1E;WNT16;TUBA4A;COX6B1;COX7A2L;NDUFS8;NDUFS7;NDUFS6;NDUFS5;CSNK2B;NDUFS3;NDUFS2;SLC25A5;UBA52;SLC25A4;NDUFB9;NDUFB8;NDUFB7;UQCRB;NDUFB10;DNAH7;NDUFB11;NDUFB4;NDUFB3;DCTN3;NDUFB2;ATP5MC2;NDUFB1;ATP5MC3;UQCR11;COX7A2;COX5B;COX5A;PSMA7;UQCRH;ATP5MC1;PSMB6;PSMB4;UBB;PSMB3;PSMB1;UBC;DVL2;NRBF2;CYC1;RPS27A;NDUFV1;NDUFA9;ATP5PF;NDUFA7;XBP1;ATP5PD;NDUFA5;NDUFA4;BAD;NDUFA3;NDUFA2;NDUFA1;GRIN2C;TUBB4B;COX6C;ATP5F1D;ATP5F1E;GRIN2D;SOD1;PSMC5;CCS;PSMC3;UQCRQ;NDUFAB1;ATP5PO;CALM1
4940,GO_Cellular_Component_2026,Ribosome (GO:0005840),5.719043586090352e-11,3.0474332251595734e-09,0,0,8.461788048552755,199.56817780639471,RPS9;RPS7;RPL23;RPS5;RPL13A;MRPS7;RPL9;RPS4X;RPL7A;RPS25;RPS28;SERP1;RPS27;RPS19;RPS18;RPS29;APEX1;RPS3;RPL27;RPS11;RPS10;RPS13;RPS23
17,GO_Biological_Process_2026,Aerobic Respiration (GO:0009060),1.4198197519042131e-10,3.001341197775295e-08,0,0,4.190135359872008,95.0126643255164,NDUFB9;NDUFB8;NDUFB7;NDUFA11;NDUFB10;UQCRB;NDUFA12;NDUFB11;NDUFB4;NDUFB3;NDUFB2;NDUFB1;COX7A2;UQCRH;BLOC1S1;UCP2;IDH3B;NDUFV1;NDUFA9;SURF1;NDUFA7;NDUFA5;IDH3G;MDH2;NDUFA3;NDUFA2;NDUFA1;NDUFC2;NDUFC1;ATP5F1D;SIRT3;NDUFS8;NDUFS7;NDUFS6;NDUFS5;NDUFAB1;NDUFS3;NDUFS2
18,GO_Biological_Process_2026,Ribosomal Small Subunit Biogenesis (GO:0042274),1.7026822144778334e-10,3.4098451716253456e-08,0,0,4.646731668317778,104.52193789664368,RPS19BP1;TSR3;NOL7;SNU13;RPS15;RPS4X;FBL;RPS14;TRMT112;EMG1;RPS16;RPS15A;RPS19;RPS11;RPS27A;RPS13;RPS12;RPS9;NPM1;RPS7;IMP3;RPS8;RPS5;RPS6;IMP4;RPSA;ERAL1;RPS25;RPS28;RPS27;PDCD2;FAU;RPS24;RPS23
19,GO_Biological_Process_2026,Protein-RNA Complex Assembly (GO:0022618),2.4453014336599135e-10,4.652185977537985e-08,0,0,3.299016153978347,73.01277817743679,RPL5;PDCD7;COIL;RPS14;RPS19;SNRPD2;CLP1;SNRPD1;SNRNP35;TXNL4A;ABT1;RPSA;SCNM1;GEMIN4;SNRPG;SNRPE;SNRNP25;SNRPF;SNRPC;SNRPA;SNRPB;SF3B5;TSSC4;SF3B6;RPL11;SNU13;PUF60;SNRPB2;SF3A2;ERAL1;LSM5;LSM3;LSM2;LSM8;XAB2;RPS28;EIF3M;EIF2S3;EIF6;EIF3K;EIF3L;EIF3G;EIF3H;EIF3E;PRPF31;EIF3F;FAU;EIF3D;NOP53
