"category","over_represented_pvalue_wal","numDEInCat","numInCat","over_represented_pvalue_naive","db","padj_wal","padj_naive","classification"
"GO_Cellular_Component_2026::U5 snRNP (GO:0005682)",0.000364946588635339,11,18,0.000314648045318181,"GO_Cellular_Component_2026",0.00744491040816092,0.00668627096301134,"GC-robust"
"GO_Biological_Process_2026::Lysosomal Lumen Acidification (GO:0007042)",0.000391542399086854,13,23,0.000263427342657149,"GO_Biological_Process_2026",0.0581447232044111,0.0401490288398486,"GC-driven"
"GO_Biological_Process_2026::Regulation of Protein Catabolic Process (GO:0042176)",0.000401065553731638,52,156,0.000407220883557952,"GO_Biological_Process_2026",0.0581447232044111,0.0571360812298731,"n.s."
"GO_Biological_Process_2026::Proton Transmembrane Transport (GO:1902600)",0.000415780556952911,20,43,0.000229264217930381,"GO_Biological_Process_2026",0.0588428483459072,0.036830986794005,"GC-driven"
"GO_Biological_Process_2026::T Cell Homeostasis (GO:0043029)",0.000426580850759054,15,30,0.000529914025985012,"GO_Biological_Process_2026",0.0589673622537632,0.0665120638875315,"n.s."
"GO_Biological_Process_2026::Proteasomal Ubiquitin-Independent Protein Catabolic Process (GO:0010499)",0.000449078030216628,11,19,0.000602113882383872,"GO_Biological_Process_2026",0.060666359354719,0.0715792983377947,"n.s."
"GO_Biological_Process_2026::Inner Mitochondrial Membrane Organization (GO:0007007)",0.000476477280601547,17,36,0.000537109533412098,"GO_Biological_Process_2026",0.0629373545754577,0.0665120638875315,"n.s."
"GO_Cellular_Component_2026::COPI-coated Vesicle (GO:0030137)",0.000479579411568211,6,7,0.000566753532540325,"GO_Cellular_Component_2026",0.00940713461153029,0.0107053445035395,"GC-robust"
"GO_Biological_Process_2026::Formation of Cytoplasmic Translation Initiation Complex (GO:0001732)",0.000495296686419275,9,14,0.000677654912255756,"GO_Biological_Process_2026",0.0640009457407863,0.0774611692009272,"n.s."
"GO_Molecular_Function_2026::Thioredoxin Peroxidase Activity (GO:0008379)",0.000511783048734657,5,5,0.000461591027480384,"GO_Molecular_Function_2026",0.177076934862191,0.175353179448863,"n.s."
"GO_Molecular_Function_2026::Thioredoxin-dependent Peroxiredoxin Activity (GO:0140824)",0.000511783048734657,5,5,0.000461591027480384,"GO_Molecular_Function_2026",0.177076934862191,0.175353179448863,"n.s."
"GO_Biological_Process_2026::Protein Metabolic Process (GO:0019538)",0.000513595145528701,120,419,0.000300009918960102,"GO_Biological_Process_2026",0.0649533945749489,0.0445814739574712,"GC-driven"
"GO_Biological_Process_2026::Negative Regulation of Regulatory T Cell Differentiation (GO:0045590)",0.000555227599205909,11,19,0.000602113882383872,"GO_Biological_Process_2026",0.0687556843683317,0.0715792983377947,"n.s."
"GO_Cellular_Component_2026::Oligosaccharyltransferase Complex A (GO:0160226)",0.000569164445717806,7,9,0.000506801096673014,"GO_Cellular_Component_2026",0.0107508839746697,0.0103387423721295,"GC-robust"
"GO_Biological_Process_2026::COPII Vesicle Coating (GO:0048208)",0.000575957436697027,12,22,0.000705242268450433,"GO_Biological_Process_2026",0.06986716334137,0.077628889697581,"n.s."
"GO_Biological_Process_2026::Protein Maturation (GO:0051604)",0.000607011799485236,57,178,0.000691261797422739,"GO_Biological_Process_2026",0.0716926564137818,0.0775256627147313,"n.s."
"GO_Biological_Process_2026::Proteasome Assembly (GO:0043248)",0.000615128781477603,8,12,0.000976385129907429,"GO_Biological_Process_2026",0.0716926564137818,0.0967272202028293,"n.s."
"GO_Biological_Process_2026::Mitochondrial Respiratory Chain Complex IV Assembly (GO:0033617)",0.000641522348517419,14,28,0.000811102665588831,"GO_Biological_Process_2026",0.0731291571709543,0.0867331970780778,"n.s."
"GO_Biological_Process_2026::Cellular Response to Superoxide (GO:0071451)",0.000655314133715112,8,11,0.00040143499504196,"GO_Biological_Process_2026",0.0731291571709543,0.0571360812298731,"n.s."
"GO_Biological_Process_2026::CD8-positive, Alpha-Beta T Cell Activation (GO:0036037)",0.000666377491261141,10,17,0.000909304713686642,"GO_Biological_Process_2026",0.0731291571709543,0.0931880554854035,"n.s."
"GO_Biological_Process_2026::[2Fe-2S] Cluster Assembly (GO:0044571)",0.000676666158210378,7,9,0.000506801096673014,"GO_Biological_Process_2026",0.0731291571709543,0.0654875156222694,"n.s."
"GO_Biological_Process_2026::Regulation of Lysosome Size (GO:0062196)",0.000817198498772232,7,9,0.000506801096673014,"GO_Biological_Process_2026",0.0867397835125383,0.0654875156222694,"n.s."
"GO_Molecular_Function_2026::NADH Dehydrogenase Activity (GO:0003954)",0.000915130018868188,7,9,0.000506801096673014,"GO_Molecular_Function_2026",0.211128068734957,0.175353179448863,"n.s."
"GO_Molecular_Function_2026::SnRNA Binding (GO:0017069)",0.00091529509567178,18,41,0.00109165431885526,"GO_Molecular_Function_2026",0.211128068734957,0.251808262882614,"n.s."
"GO_Biological_Process_2026::Vacuolar Acidification (GO:0007035)",0.0011164003835791,16,34,0.000817136446226843,"GO_Biological_Process_2026",0.116419015438494,0.0867331970780778,"n.s."
"GO_Biological_Process_2026::Negative Regulation of T Cell Differentiation (GO:0045581)",0.00119548216980262,12,23,0.00118722218749765,"GO_Biological_Process_2026",0.122516310643221,0.113820140040097,"n.s."
"GO_Biological_Process_2026::TRNA 5'-End Processing (GO:0099116)",0.0012383283171471,9,15,0.00137079612637257,"GO_Biological_Process_2026",0.124104652566069,0.125305685242348,"n.s."
"GO_Biological_Process_2026::T-helper 1 Cell Differentiation (GO:0045063)",0.00129193389560864,12,24,0.00191260514569112,"GO_Biological_Process_2026",0.124104652566069,0.152787904884616,"n.s."
"GO_Biological_Process_2026::Tail-anchored Membrane Protein Insertion Into ER Membrane (GO:0071816)",0.00131437273204755,10,17,0.000909304713686642,"GO_Biological_Process_2026",0.124104652566069,0.0931880554854035,"n.s."
"GO_Biological_Process_2026::Ribosomal Large Subunit Biogenesis (GO:0042273)",0.00132616902454189,17,40,0.00228770584366266,"GO_Biological_Process_2026",0.124104652566069,0.152787904884616,"n.s."
"GO_Biological_Process_2026::Modification-dependent Macromolecule Catabolic Process (GO:0043632)",0.00132816893868699,8,12,0.000976385129907429,"GO_Biological_Process_2026",0.124104652566069,0.0967272202028293,"n.s."
"GO_Biological_Process_2026::Respiratory Chain Complex IV Assembly (GO:0008535)",0.00134587068035515,14,30,0.00189849649566515,"GO_Biological_Process_2026",0.124104652566069,0.152787904884616,"n.s."
