"category","over_represented_pvalue_wal","numDEInCat","numInCat","over_represented_pvalue_naive","db","padj_wal","padj_naive","classification"
"GO_Biological_Process_2026::Golgi to Plasma Membrane Transport (GO:0006893)",0.0132920512458983,21,55,0.00334706120563898,"GO_Biological_Process_2026",1,0.294506660360122,"n.s."
"GO_Biological_Process_2026::RNA-templated DNA Biosynthetic Process (GO:0006278)",0.0136895046640188,10,20,0.00435692891552376,"GO_Biological_Process_2026",1,0.336049361419424,"n.s."
"GO_Biological_Process_2026::Telomere Maintenance via Telomerase (GO:0007004)",0.0136895046640188,10,20,0.00435692891552376,"GO_Biological_Process_2026",1,0.336049361419424,"n.s."
"GO_Molecular_Function_2026::Metal-dependent Deubiquitinase Activity (GO:0140492)",0.0138349841202377,6,9,0.00439736563181164,"GO_Molecular_Function_2026",1,0.554467830120249,"n.s."
"GO_Biological_Process_2026::Protein Localization to Cytoplasmic Stress Granule (GO:1903608)",0.0139844950702971,6,8,0.00179067185128993,"GO_Biological_Process_2026",1,0.207042106600229,"n.s."
"GO_Molecular_Function_2026::Acetyl-CoA C-acetyltransferase Activity (GO:0003985)",0.014043687254477,4,5,0.00868451216138787,"GO_Molecular_Function_2026",1,0.602270918392249,"n.s."
"GO_Biological_Process_2026::Transcription by RNA Polymerase II (GO:0006366)",0.0142905414616986,55,194,0.0128969722757851,"GO_Biological_Process_2026",1,0.57523296945007,"n.s."
"GO_Biological_Process_2026::Negative Regulation of Stress-Activated Protein Kinase Signaling Cascade (GO:0070303)",0.0145161946713458,4,8,0.0700136003129681,"GO_Biological_Process_2026",1,0.992260376447756,"n.s."
"GO_Biological_Process_2026::Ribosome-associated Ubiquitin-Dependent Protein Catabolic Process (GO:1990116)",0.0146204488685999,9,18,0.00679625229191032,"GO_Biological_Process_2026",1,0.429393003847398,"n.s."
"GO_Molecular_Function_2026::Protein Phosphatase Regulator Activity (GO:0019888)",0.0148320109394581,25,71,0.00510313147634784,"GO_Molecular_Function_2026",1,0.554494231110565,"n.s."
"GO_Biological_Process_2026::Negative Regulation of DNA Replication (GO:0008156)",0.0148459989114053,10,17,0.000865015518278972,"GO_Biological_Process_2026",1,0.117246684044107,"n.s."
"GO_Biological_Process_2026::Regulation of DNA Repair (GO:0006282)",0.0148605571630851,39,123,0.00486884065912872,"GO_Biological_Process_2026",1,0.370718521468788,"n.s."
"GO_Cellular_Component_2026::Uniplex Complex (GO:1990246)",0.0154661267960595,5,6,0.00220906175889203,"GO_Cellular_Component_2026",0.292137950592236,0.0536486427159492,"n.s."
"GO_Biological_Process_2026::Intracellular mRNA Localization (GO:0008298)",0.0161620117834475,4,6,0.0216354129663795,"GO_Biological_Process_2026",1,0.705328201510009,"n.s."
"GO_Biological_Process_2026::Protein Localization to Mitochondrion (GO:0070585)",0.0161796595563443,14,38,0.0212457019106692,"GO_Biological_Process_2026",1,0.705328201510009,"n.s."
"GO_Biological_Process_2026::Electron Transport Chain (GO:0022900)",0.0165267998920957,8,17,0.0164029237589684,"GO_Biological_Process_2026",1,0.601160286751133,"n.s."
"GO_Biological_Process_2026::Negative Regulation of Ubiquitin-Dependent Protein Catabolic Process (GO:2000059)",0.0168405392079041,17,49,0.0220799462942503,"GO_Biological_Process_2026",1,0.705328201510009,"n.s."
"GO_Cellular_Component_2026::Shelterin Complex (GO:0070187)",0.0171671951006844,5,7,0.00636302124042868,"GO_Cellular_Component_2026",0.306067761597008,0.115022077403147,"n.s."
"GO_Cellular_Component_2026::TIM23 Mitochondrial Import Inner Membrane Translocase Complex (GO:0005744)",0.0174146320219682,7,14,0.0168029310659519,"GO_Cellular_Component_2026",0.306067761597008,0.214237371090886,"n.s."
"GO_Biological_Process_2026::Negative Regulation of Calcium Ion Transmembrane Transport (GO:1903170)",0.0179703490526898,8,15,0.00654047106802209,"GO_Biological_Process_2026",1,0.426855578823991,"n.s."
"GO_Cellular_Component_2026::U2-type Spliceosomal Complex (GO:0005684)",0.0180039859762946,31,92,0.0042211557985423,"GO_Cellular_Component_2026",0.306067761597008,0.0934440196759973,"n.s."
"GO_Biological_Process_2026::DNA Damage Response (GO:0006974)",0.0180551696452091,124,446,0.000676839077287331,"GO_Biological_Process_2026",1,0.108108706845208,"n.s."
"GO_Molecular_Function_2026::Protein Phosphatase Activator Activity (GO:0072542)",0.0180571808527163,9,21,0.0220897534064425,"GO_Molecular_Function_2026",1,0.785602255762453,"n.s."
"GO_Biological_Process_2026::Positive Regulation of Intrinsic Apoptotic Signaling Pathway by P53 Class Mediator (GO:1902255)",0.0188455441034196,4,7,0.041998601934314,"GO_Biological_Process_2026",1,0.900795141760634,"n.s."
"GO_Biological_Process_2026::SnRNA Modification (GO:0040031)",0.0191172247660053,4,6,0.0216354129663795,"GO_Biological_Process_2026",1,0.705328201510009,"n.s."
"GO_Biological_Process_2026::Maturation of LSU-rRNA Fm Tricistronic rRNA Trans (GO:0000463)",0.0194190347298867,10,23,0.0143854750660708,"GO_Biological_Process_2026",1,0.584508377279498,"n.s."
"GO_Biological_Process_2026::Positive Regulation of Organelle Organization (GO:0010638)",0.019585905480017,23,73,0.028372431881885,"GO_Biological_Process_2026",1,0.791097995054062,"n.s."
"GO_Molecular_Function_2026::MRNA Binding (GO:0003729)",0.0198166716342053,84,287,0.000943732703881845,"GO_Molecular_Function_2026",1,0.443900897713339,"n.s."
"GO_Molecular_Function_2026::Protein-arginine N-methyltransferase Activity (GO:0016274)",0.0198547797793142,6,11,0.0162606110998519,"GO_Molecular_Function_2026",1,0.785602255762453,"n.s."
"GO_Biological_Process_2026::Ribosomal Small Subunit Assembly (GO:0000028)",0.0199859073544619,6,16,0.106772532673388,"GO_Biological_Process_2026",1,1,"n.s."
"GO_Biological_Process_2026::Maturation of SSU-rRNA (GO:0030490)",0.0201754378957748,23,62,0.00337202439880254,"GO_Biological_Process_2026",1,0.294506660360122,"n.s."
"GO_Molecular_Function_2026::1-Phosphatidylinositol Binding (GO:0005545)",0.0208318142058735,8,14,0.00375081221796526,"GO_Molecular_Function_2026",1,0.554467830120249,"n.s."
"GO_Molecular_Function_2026::C-acetyltransferase Activity (GO:0016453)",0.0208686273119091,4,6,0.0216354129663795,"GO_Molecular_Function_2026",1,0.785602255762453,"n.s."
"GO_Biological_Process_2026::Cytoskeleton-dependent Cytokinesis (GO:0061640)",0.0209107773483097,27,80,0.00709606185053985,"GO_Biological_Process_2026",1,0.443615908740591,"n.s."
"GO_Biological_Process_2026::Membrane Organization (GO:0061024)",0.0209296865536861,53,178,0.00517430988395062,"GO_Biological_Process_2026",1,0.388990207604845,"n.s."
"GO_Cellular_Component_2026::Nuclear Ribonucleoprotein Granule (GO:0140168)",0.0211326206465536,95,339,0.00209562996768528,"GO_Cellular_Component_2026",0.342496109702003,0.0536486427159492,"n.s."
"GO_Cellular_Component_2026::Cytoplasmic Dynein Complex (GO:0005868)",0.0214899519813022,11,22,0.00280432653049701,"GO_Cellular_Component_2026",0.342496109702003,0.0650093877524306,"n.s."
"GO_Biological_Process_2026::Chromatin Remodeling (GO:0006338)",0.021594745488227,75,275,0.0115543956107747,"GO_Biological_Process_2026",1,0.548972444259127,"n.s."
"GO_Biological_Process_2026::Positive Regulation of Double-Strand Break Repair via Homologous Recombination (GO:1905168)",0.0221279237323438,17,43,0.00526404064990293,"GO_Biological_Process_2026",1,0.390789217747169,"n.s."
"GO_Molecular_Function_2026::Ribosome Binding (GO:0043022)",0.0222224461469834,32,92,0.00209095128587928,"GO_Molecular_Function_2026",1,0.443900897713339,"n.s."
"GO_Biological_Process_2026::Ether Lipid Biosynthetic Process (GO:0008611)",0.02227853226184,7,11,0.00296581618067516,"GO_Biological_Process_2026",1,0.270984343031228,"n.s."
"GO_Biological_Process_2026::Host-mediated Perturbation of Viral Genome Replication (GO:0044827)",0.0225320137990538,6,10,0.00900890478030094,"GO_Biological_Process_2026",1,0.482016986398264,"n.s."
"GO_Biological_Process_2026::MRNA Splicing, via Spliceosome (GO:0000398)",0.0225419062150123,69,227,0.000868640191604768,"GO_Biological_Process_2026",1,0.117246684044107,"n.s."
"GO_Biological_Process_2026::Regulation of Myoblast Differentiation (GO:0045661)",0.0225518402488377,13,41,0.081927024585327,"GO_Biological_Process_2026",1,1,"n.s."
"GO_Biological_Process_2026::Protein Localization to Chromosome, Telomeric Region (GO:0070198)",0.0227392981978459,6,10,0.00900890478030094,"GO_Biological_Process_2026",1,0.482016986398264,"n.s."
"GO_Biological_Process_2026::Negative Regulation of Proteasomal Protein Catabolic Process (GO:1901799)",0.022823686601995,18,50,0.0126015628751371,"GO_Biological_Process_2026",1,0.57523296945007,"n.s."
"GO_Biological_Process_2026::Eosinophil Chemotaxis (GO:0048245)",0.0233449674413666,3,5,0.0692334548496716,"GO_Biological_Process_2026",1,0.992260376447756,"n.s."
"GO_Biological_Process_2026::Eosinophil Migration (GO:0072677)",0.0233449674413666,3,5,0.0692334548496716,"GO_Biological_Process_2026",1,0.992260376447756,"n.s."
